r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
118.5 0.031391 0.036555 0.041544 0.046365 0.051025 2.819 2.8238 2.8232 2.8182 2.8095
119 0.031305 0.036454 0.04143 0.046238 0.050885 2.7192 2.725 2.7254 2.7215 2.7139
119.5 0.031221 0.036357 0.041319 0.046114 0.050749 2.6213 2.628 2.6295 2.6265 2.62
120 0.03114 0.036262 0.041212 0.045994 0.050617 2.5252 2.5329 2.5353 2.5333 2.5277
120.5 0.031061 0.03617 0.041107 0.045878 0.050489 2.4311 2.4395 2.4428 2.4417 2.4371
121 0.030984 0.036081 0.041006 0.045765 0.050364 2.3387 2.3479 2.352 2.3517 2.348
121.5 0.03091 0.035995 0.040908 0.045655 0.050244 2.2481 2.258 2.2628 2.2634 2.2605
122 0.030838 0.035911 0.040812 0.045549 0.050127 2.1593 2.1698 2.1753 2.1766 2.1744
122.5 0.030769 0.03583 0.04072 0.045446 0.050014 2.0722 2.0833 2.0894 2.0913 2.0899
123 0.030701 0.035752 0.040631 0.045347 0.049905 1.9869 1.9984 2.005 2.0076 2.0068
123.5 0.030637 0.035676 0.040545 0.045251 0.049799 1.9031 1.915 1.9221 1.9253 1.9252
124 0.030574 0.035603 0.040463 0.045159 0.049697 1.821 1.8332 1.8408 1.8445 1.8449
124.5 0.030514 0.035533 0.040383 0.04507 0.049599 1.7405 1.753 1.7609 1.765 1.766
125 0.030456 0.035466 0.040306 0.044984 0.049505 1.6615 1.6742 1.6824 1.6869 1.6884
125.5 0.0304 0.035401 0.040233 0.044902 0.049415 1.584 1.5969 1.6053 1.6102 1.612
126 0.030347 0.035339 0.040162 0.044823 0.049328 1.5079 1.5209 1.5296 1.5348 1.537
126.5 0.030296 0.035279 0.040094 0.044748 0.049245 1.4333 1.4463 1.4552 1.4606 1.4631
127 0.030247 0.035223 0.04003 0.044676 0.049166 1.3601 1.3731 1.382 1.3876 1.3904
127.5 0.030201 0.035169 0.039968 0.044607 0.04909 1.2883 1.3011 1.3101 1.3158 1.3188
128 0.030156 0.035117 0.03991 0.044542 0.049019 1.2177 1.2304 1.2393 1.2451 1.2484
128.5 0.030115 0.035068 0.039855 0.04448 0.048951 1.1484 1.1608 1.1697 1.1756 1.179
129 0.030075 0.035022 0.039802 0.044421 0.048886 1.0803 1.0925 1.1012 1.1071 1.1106
129.5 0.030038 0.034979 0.039753 0.044366 0.048826 1.0133 1.0252 1.0338 1.0396 1.0431
130 0.030003 0.034938 0.039706 0.044315 0.048769 0.94747 0.95897 0.96732 0.97306 0.97663
130.5 0.02997 0.0349 0.039663 0.044266 0.048715 0.8827 0.89377 0.90186 0.90747 0.91102
131 0.029939 0.034864 0.039623 0.044221 0.048666 0.81894 0.82953 0.83731 0.84275 0.84625
131.5 0.029911 0.034831 0.039585 0.04418 0.04862 0.75614 0.7662 0.77363 0.77886 0.78228
132 0.029885 0.034801 0.039551 0.044141 0.048578 0.69425 0.70374 0.71077 0.71576 0.71906
132.5 0.029862 0.034774 0.03952 0.044106 0.048539 0.63321 0.64208 0.64868 0.65339 0.65654
133 0.02984 0.034749 0.039491 0.044075 0.048504 0.57296 0.58117 0.5873 0.59171 0.59467
133.5 0.029821 0.034726 0.039466 0.044046 0.048473 0.51345 0.52096 0.52659 0.53065 0.5334
134 0.029804 0.034707 0.039444 0.044021 0.048446 0.45461 0.46139 0.46648 0.47017 0.47269
134.5 0.029789 0.03469 0.039424 0.044 0.048422 0.39638 0.40239 0.40692 0.41021 0.41247
135 0.029777 0.034675 0.039408 0.043981 0.048402 0.3387 0.34391 0.34784 0.35071 0.3527
135.5 0.029767 0.034663 0.039394 0.043966 0.048385 0.28149 0.28588 0.28919 0.29162 0.2933
136 0.029759 0.034654 0.039384 0.043955 0.048373 0.22468 0.22823 0.23091 0.23287 0.23424
136.5 0.029753 0.034648 0.039377 0.043946 0.048363 0.16821 0.17089 0.17291 0.1744 0.17544
137 0.02975 0.034644 0.039372 0.043941 0.048358 0.112 0.11379 0.11515 0.11615 0.11685
137.5 0.029749 0.034643 0.039371 0.04394 0.048356 0.055954 0.056853 0.057535 0.058036 0.058388
