r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
92.5 0.015393 0.019299 0.023496 0.02769 0.031793 48.534 45.114 41.425 38.057 35.1
93 0.015217 0.019093 0.023262 0.027427 0.031503 48.432 45.004 41.307 37.934 34.972
93.5 0.015045 0.018892 0.023032 0.02717 0.031217 48.329 44.893 41.19 37.811 34.845
94 0.014877 0.018694 0.022806 0.026916 0.030937 48.227 44.784 41.073 37.689 34.719
94.5 0.014711 0.018501 0.022585 0.026668 0.030663 48.125 44.674 40.957 37.567 34.593
95 0.014549 0.018311 0.022368 0.026424 0.030393 48.023 44.564 40.84 37.446 34.468
95.5 0.01439 0.018125 0.022155 0.026185 0.030129 47.921 44.455 40.725 37.325 34.343
96 0.014234 0.017942 0.021946 0.025951 0.029869 47.819 44.346 40.609 37.204 34.219
96.5 0.014082 0.017763 0.021741 0.025721 0.029615 47.717 44.237 40.494 37.084 34.096
97 0.013933 0.017588 0.021541 0.025496 0.029365 47.615 44.129 40.379 36.965 33.973
97.5 0.013786 0.017416 0.021344 0.025275 0.02912 47.513 44.02 40.265 36.846 33.85
98 0.013643 0.017248 0.021151 0.025058 0.02888 47.411 43.912 40.151 36.728 33.729
98.5 0.013503 0.017083 0.020963 0.024846 0.028645 47.309 43.804 40.037 36.609 33.608
99 0.013366 0.016922 0.020778 0.024638 0.028414 47.208 43.696 39.924 36.492 33.487
99.5 0.013232 0.016764 0.020597 0.024434 0.028189 47.106 43.589 39.811 36.375 33.367
100 0.0131 0.01661 0.02042 0.024235 0.027967 47.004 43.481 39.698 36.258 33.247
100.5 0.012972 0.016459 0.020246 0.024039 0.027751 46.902 43.374 39.586 36.142 33.128
101 0.012846 0.016311 0.020077 0.023848 0.027538 46.801 43.267 39.474 36.026 33.01
101.5 0.012724 0.016167 0.019911 0.023661 0.027331 46.699 43.16 39.362 35.911 32.892
102 0.012604 0.016026 0.019748 0.023478 0.027127 46.597 43.053 39.251 35.796 32.775
102.5 0.012487 0.015888 0.019589 0.023299 0.026928 46.496 42.947 39.14 35.682 32.658
103 0.012373 0.015753 0.019434 0.023124 0.026734 46.394 42.841 39.029 35.568 32.541
103.5 0.012261 0.015621 0.019283 0.022952 0.026543 46.293 42.734 38.919 35.454 32.425
104 0.012152 0.015493 0.019134 0.022785 0.026357 46.191 42.628 38.809 35.341 32.31
104.5 0.012046 0.015367 0.01899 0.022621 0.026175 46.09 42.523 38.699 35.228 32.195
105 0.011942 0.015245 0.018848 0.022462 0.025997 45.988 42.417 38.59 35.116 32.081
105.5 0.011841 0.015125 0.01871 0.022306 0.025823 45.887 42.312 38.48 35.004 31.967
106 0.011743 0.015009 0.018576 0.022153 0.025654 45.786 42.206 38.372 34.893 31.854
106.5 0.011647 0.014895 0.018445 0.022005 0.025488 45.684 42.101 38.263 34.782 31.741
107 0.011554 0.014785 0.018317 0.02186 0.025326 45.583 41.996 38.155 34.671 31.629
107.5 0.011464 0.014677 0.018192 0.021718 0.025169 45.482 41.891 38.047 34.561 31.517
108 0.011375 0.014572 0.018071 0.021581 0.025015 45.38 41.787 37.939 34.451 31.406
108.5 0.01129 0.014471 0.017953 0.021446 0.024865 45.279 41.682 37.832 34.342 31.295
109 0.011206 0.014371 0.017838 0.021316 0.024719 45.178 41.578 37.725 34.233 31.185
109.5 0.011126 0.014275 0.017726 0.021188 0.024577 45.077 41.474 37.618 34.124 31.075
110 0.011047 0.014182 0.017617 0.021064 0.024438 44.975 41.37 37.512 34.016 30.966
110.5 0.010971 0.014091 0.017511 0.020944 0.024303 44.874 41.266 37.406 33.908 30.857
111 0.010897 0.014003 0.017409 0.020827 0.024172 44.773 41.163 37.3 33.801 30.748
111.5 0.010826 0.013918 0.017309 0.020713 0.024045 44.672 41.059 37.195 33.694 30.64
112 0.010757 0.013835 0.017212 0.020603 0.023921 44.571 40.956 37.089 33.587 30.533
112.5 0.01069 0.013755 0.017119 0.020496 0.023801 44.47 40.853 36.985 33.481 30.426
113 0.010626 0.013677 0.017028 0.020392 0.023684 44.369 40.75 36.88 33.375 30.32
113.5 0.010564 0.013603 0.01694 0.020292 0.023571 44.268 40.647 36.776 33.27 30.214
114 0.010504 0.01353 0.016855 0.020194 0.023462 44.167 40.545 36.672 33.165 30.108
114.5 0.010446 0.013461 0.016773 0.0201 0.023356 44.066 40.442 36.568 33.06 30.003
115 0.01039 0.013394 0.016694 0.020009 0.023253 43.966 40.34 36.465 32.956 29.899
115.5 0.010337 0.013329 0.016618 0.019921 0.023154 43.865 40.238 36.361 32.852 29.795
116 0.010286 0.013267 0.016545 0.019836 0.023058 43.764 40.136 36.259 32.749 29.691
116.5 0.010237 0.013207 0.016474 0.019755 0.022965 43.664 40.035 36.156 32.646 29.588
117 0.01019 0.01315 0.016406 0.019676 0.022876 43.563 39.933 36.054 32.544 29.485
117.5 0.010145 0.013095 0.016341 0.0196 0.02279 43.463 39.832 35.952 32.441 29.383
118 0.010102 0.013043 0.016278 0.019528 0.022708 43.362 39.731 35.851 32.34 29.281
118.5 0.010062 0.012993 0.016218 0.019458 0.022629 43.262 39.63 35.749 32.238 29.18
119 0.010023 0.012945 0.016161 0.019391 0.022553 43.162 39.529 35.648 32.137 29.079
119.5 0.0099868 0.0129 0.016107 0.019328 0.02248 43.062 39.429 35.548 32.037 28.979
120 0.0099523 0.012857 0.016055 0.019267 0.02241 42.961 39.328 35.447 31.936 28.879
120.5 0.0099198 0.012817 0.016005 0.019209 0.022344 42.861 39.228 35.347 31.837 28.78
121 0.0098893 0.012778 0.015959 0.019154 0.02228 42.761 39.128 35.248 31.737 28.681
121.5 0.0098608 0.012742 0.015915 0.019101 0.02222 42.662 39.029 35.148 31.638 28.583
122 0.0098342 0.012709 0.015873 0.019052 0.022163 42.562 38.929 35.049 31.54 28.485
122.5 0.0098096 0.012677 0.015834 0.019005 0.022109 42.462 38.83 34.95 31.442 28.387
123 0.009787 0.012648 0.015797 0.018962 0.022058 42.363 38.731 34.852 31.344 28.29
123.5 0.0097663 0.012621 0.015763 0.01892 0.02201 42.263 38.632 34.754 31.247 28.194
124 0.0097475 0.012596 0.015732 0.018882 0.021965 42.164 38.533 34.656 31.15 28.098
124.5 0.0097306 0.012573 0.015703 0.018846 0.021923 42.065 38.435 34.558 31.053 28.002
125 0.0097156 0.012553 0.015676 0.018814 0.021884 41.965 38.337 34.461 30.957 27.907
125.5 0.0097025 0.012535 0.015652 0.018783 0.021848 41.866 38.239 34.364 30.861 27.813
126 0.0096913 0.012519 0.01563 0.018756 0.021814 41.768 38.141 34.268 30.766 27.719
126.5 0.0096818 0.012505 0.015611 0.018731 0.021784 41.669 38.044 34.172 30.671 27.625
127 0.0096743 0.012493 0.015594 0.018709 0.021757 41.57 37.946 34.076 30.577 27.532
127.5 0.0096685 0.012483 0.015579 0.018689 0.021732 41.472 37.849 33.98 30.483 27.439
128 0.0096645 0.012475 0.015567 0.018672 0.021711 41.373 37.752 33.885 30.389 27.347
128.5 0.0096624 0.012469 0.015557 0.018657 0.021692 41.275 37.656 33.79 30.296 27.256
129 0.009662 0.012466 0.015549 0.018646 0.021676 41.177 37.56 33.696 30.203 27.164
129.5 0.0096634 0.012464 0.015544 0.018636 0.021662 41.079 37.464 33.602 30.111 27.074
130 0.0096665 0.012465 0.015541 0.018629 0.021652 40.982 37.368 33.508 30.019 26.984
130.5 0.0096715 0.012467 0.01554 0.018625 0.021644 40.884 37.272 33.415 29.927 26.894
131 0.0096781 0.012472 0.015541 0.018623 0.021639 40.787 37.177 33.322 29.836 26.805
131.5 0.0096865 0.012478 0.015545 0.018624 0.021637 40.689 37.082 33.229 29.746 26.716
132 0.0096967 0.012487 0.015551 0.018627 0.021638 40.592 36.987 33.137 29.656 26.628
132.5 0.0097085 0.012497 0.015559 0.018633 0.021641 40.495 36.893 33.045 29.566 26.54
133 0.0097221 0.01251 0.01557 0.018641 0.021647 40.399 36.799 32.953 29.477 26.453
133.5 0.0097374 0.012524 0.015582 0.018652 0.021655 40.302 36.705 32.862 29.388 26.366
134 0.0097543 0.012541 0.015597 0.018665 0.021667 40.206 36.611 32.771 29.299 26.28
134.5 0.0097729 0.012559 0.015614 0.01868 0.02168 40.11 36.518 32.68 29.211 26.194
135 0.0097932 0.012579 0.015633 0.018698 0.021697 40.014 36.425 32.59 29.124 26.109
135.5 0.0098152 0.012601 0.015654 0.018718 0.021716 39.918 36.332 32.501 29.037 26.025
136 0.0098388 0.012625 0.015678 0.018741 0.021738 39.823 36.24 32.411 28.95 25.941
136.5 0.009864 0.012651 0.015703 0.018766 0.021762 39.728 36.147 32.322 28.864 25.857
137 0.0098909 0.012679 0.015731 0.018793 0.021789 39.633 36.056 32.234 28.779 25.774
137.5 0.0099194 0.012709 0.015761 0.018823 0.021819 39.538 35.964 32.146 28.694 25.691
